date,price
2017-06-11,6.62
2017-06-18,6.21
2017-06-25,5.81
2017-07-02,5.94
2017-07-09,6.55
2017-07-16,6.33
2017-07-23,7.21
2017-07-30,7.52
2017-08-06,7.34
2017-08-13,7.99
2017-08-20,7.93
2017-08-27,8.64
2017-09-03,10.12
2017-09-10,10.75
2017-09-17,10.1
2017-09-24,10.26
2017-10-01,10.0
2017-10-08,10.22
2017-10-15,10.36
2017-10-22,11.16
2017-10-29,11.65
2017-11-05,11.87
2017-11-12,11.81
2017-11-19,11.48
2017-11-26,11.4
2017-12-03,11.89
2017-12-10,11.99
2017-12-17,11.9
2017-12-24,11.69
2017-12-31,10.99
2018-01-07,10.44
2018-01-14,10.27
2018-01-21,10.1
2018-01-28,9.89
2018-02-04,9.64
2018-02-11,9.54
2018-02-18,9.5
2018-02-25,10.53
2018-03-04,10.43
2018-03-11,9.92
2018-03-18,9.09
2018-03-25,8.68
2018-04-01,8.32
2018-04-08,8.45
2018-04-15,9.02
2018-04-22,9.18
2018-04-29,9.55
2018-05-06,9.57
2018-05-13,9.47
2018-05-20,9.29
2018-05-27,9.11
2018-06-03,8.5
2018-06-10,8.0
2018-06-17,7.74
2018-06-24,7.8
2018-07-01,7.78
2018-07-08,7.88
2018-07-15,8.58
2018-07-22,8.37
2018-07-29,8.44
2018-08-05,8.14
2018-08-12,8.22
2018-08-19,8.69
2018-08-26,8.94
2018-09-02,8.77
2018-09-09,8.52
2018-09-16,8.67
2018-09-23,9.03
2018-09-30,9.79
2018-10-07,9.42
2018-10-14,8.97
2018-10-21,8.99
2018-10-28,8.81
2018-11-04,8.84
2018-11-11,9.24
2018-11-18,9.01
2018-11-25,9.37
2018-12-02,9.32
2018-12-09,9.02
2018-12-16,8.74
2018-12-23,8.5
2018-12-30,8.91
2019-01-06,9.26
2019-01-13,8.85
2019-01-20,8.41
2019-01-27,8.16
2019-02-03,7.7
2019-02-10,7.78
2019-02-17,7.78
2019-02-24,7.15
2019-03-03,6.46
2019-03-10,6.87
2019-03-17,7.05
2019-03-24,7.71
2019-03-31,7.98
2019-04-07,7.9
2019-04-14,7.9
2019-04-21,7.98
2019-04-28,8.13
2019-05-05,8.42
2019-05-12,9.47
2019-05-19,11.84
2019-05-26,11.56
2019-06-02,10.27
2019-06-09,10.01
2019-06-16,10.18
2019-06-23,10.09
2019-06-30,9.99
2019-07-07,9.48
2019-07-14,9.48
2019-07-21,10.04
2019-07-28,10.53
2019-08-04,10.53
2019-08-11,10.79
2019-08-18,10.88
2019-08-25,11.26
2019-09-01,12.35
2019-09-08,12.97
2019-09-15,13.1
2019-09-22,12.51
2019-09-29,11.39
2019-10-06,11.11
2019-10-13,10.6
2019-10-20,10.38
2019-10-27,11.05
2019-11-03,11.39
2019-11-10,12.01
2019-11-17,12.18
2019-11-24,11.22
2019-12-01,9.87
2019-12-08,9.19
2019-12-15,9.22
2019-12-22,9.35
2019-12-29,8.61
2020-01-05,7.73
2020-01-12,7.57
2020-01-19,6.9
2020-01-26,7.68
2020-02-02,6.85
2020-02-09,5.45
2020-02-16,6.7
2020-02-23,7.56
2020-03-01,9.41
2020-03-08,7.74
2020-03-15,7.55
2020-03-22,7.93
2020-03-29,7.8
2020-04-05,7.61
2020-04-12,7.29
2020-04-19,8.41
2020-04-26,8.68
2020-05-03,8.57
2020-05-10,8.2
2020-05-17,8.12
2020-05-24,7.66
2020-05-31,7.32
2020-06-07,7.19
2020-06-14,6.83
2020-06-21,6.79
2020-06-28,7.0
2020-07-05,7.1
2020-07-12,7.23
2020-07-19,7.69
2020-07-26,7.59
2020-08-02,7.08
2020-08-09,7.42
2020-08-16,7.68
2020-08-23,7.97
2020-08-30,8.49
2020-09-06,8.39
